MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
Leech_SpoilageTime.CardStatName,Spoilage,腐敗
Leech_SpoilageTime.OnFull.ActionDescription,Bugs Spoiled!,虫が腐った！
Leech_FuelCapacity.CardStatName,Temperature,温度
Leech_SpecialDurability1.CardStatName,Cook,料理する
Leech_SpecialDurability4.CardStatName,Boil,茹でる
Leech_DismantleActions[0].ActionName,Eat,食べる
Leech_DismantleActions[1].ActionName,Attach,
MeatBrainMushQQQ_CardName,Brain Mush,潰れた脳みそ
MeatBrainMushQQQ_CardDescription,"Use on freshly fleshed animal hides to tan them into soft leather, ideal for crafting extra comfortable clothes.",新鮮な裏漉きした皮に使うことで柔らかい革をなめすことができる。着心地の良い服を作るのに最適だ。
MeatBrainMushQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatBrainMushQQQ_SpoilageTime.OnFull.ActionDescription,Brain Mush Spoiled!,潰れた脳みそが腐った！
MeatBrainMushQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatBrainRawQQQ_CardName,Brain,脳
MeatBrainRawQQQ_CardDescription,Edible.\n\nCan be turned into a mush and used on animal hides to tan them.,食用。\n\n潰すことで動物の皮をなめすのに使えるようになる。
MeatBrainRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatBrainRawQQQ_SpoilageTime.OnFull.ActionDescription,Brain Spoiled!,脳が腐った！
MeatBrainRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatBrainRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatBrainRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatBrainRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatBrainRawQQQ_CardInteractions[0].ActionName,Grind,磨り潰す
MeatBrainRawQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatBrainRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatFillingRaw_CardName,Raw Meat Filling,生の肉のフィリング
MeatFillingRaw_CardDescription,Tasty and nutritious. Combine with grease dough to make a pasty.\n\nCan be enriched with flour and combined with intestines to make sausages.,美味しくて栄養豊富。\n\n小麦粉を加えて品質を上げることができ、腸に詰めてソーセージを作ることができる。
MeatFillingRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MeatFillingRaw_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉が腐った！
MeatFillingRaw_FuelCapacity.CardStatName,Temperature,温度
MeatFillingRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatFillingRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatFillingRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatFillingRaw_CardInteractions[0].ActionName,Add,入れる
MeatFillingRaw_CardInteractions[1].ActionName,Add,入れる
MeatFillingRaw_DismantleActions[0].ActionName,Eat,食べる
MeatFillingRichRaw_CardName,Raw Rich Meat Filling,生の豪華な肉のフィリング
MeatFillingRichRaw_CardDescription,Tasty and nutritious.\n\nCan be combined with intestines to make sausages.,美味しくて栄養豊富。\n\n腸に詰めてソーセージを作ることができる。
MeatFillingRichRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MeatFillingRichRaw_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉が腐った！
MeatFillingRichRaw_FuelCapacity.CardStatName,Temperature,温度
MeatFillingRichRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatFillingRichRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatFillingRichRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatFillingRichRaw_CardInteractions[0].ActionName,Add,入れる
MeatFillingRichRaw_DismantleActions[0].ActionName,Eat,食べる
MeatHeartRawQQQ_CardName,Heart,心臓
MeatHeartRawQQQ_CardDescription,Edible.\n\nCan be cooked or dried to last longer.,食用。\n\n焼いたり乾燥したら長持ちする。
MeatHeartRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatHeartRawQQQ_SpoilageTime.OnFull.ActionDescription,Heart Spoiled!,心臓が腐った！
MeatHeartRawQQQ_UsageDurability.CardStatName,Drying,乾燥中
MeatHeartRawQQQ_UsageDurability.OnFull.ActionDescription,Heart dried!,心臓が乾燥した！
MeatHeartRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatHeartRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatHeartRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatHeartRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatHeartRawQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatHeartRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatIntestinesRawQQQ_CardName,Cleaned Intestines,清潔な腸
MeatIntestinesRawQQQ_CardDescription,"Edible.\n\nCan be cooked or dried to last longer, or used to make sausages.",食用。\n\n焼いたり乾燥したら長持ちする。ソーセージを作ることもできる。
MeatIntestinesRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatIntestinesRawQQQ_SpoilageTime.OnFull.ActionDescription,Stomach Spoiled!,胃が腐った！
MeatIntestinesRawQQQ_UsageDurability.CardStatName,Drying,乾燥中
MeatIntestinesRawQQQ_UsageDurability.OnFull.ActionDescription,Intestines dried!,腸が乾燥した！
MeatIntestinesRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatIntestinesRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatIntestinesRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatIntestinesRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatIntestinesRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatIntestinesRawDirtyQQQ_CardName,Intestines,腸
MeatIntestinesRawDirtyQQQ_CardDescription,Must be cleaned first.,まず綺麗に洗う必要がある。
MeatIntestinesRawDirtyQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatIntestinesRawDirtyQQQ_SpoilageTime.OnFull.ActionDescription,Stomach Spoiled!,胃が腐った！
MeatIntestinesRawDirtyQQQ_Progress.CardStatName,Bacteria,細菌
MeatIntestinesRawDirtyQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatIntestinesRawDirty_SpecialDurability4.CardStatName,Boil,茹でる
MeatIntestinesRawDirtyQQQ_CardInteractions[0].ActionName,Wash,洗う
MeatIntestinesRawDirtyQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatKidneyRawQQQ_CardName,Cleaned Kidney,清潔な腎臓
MeatKidneyRawQQQ_CardDescription,Nutritious.\n\nCan be cooked to last longer.,栄養豊富。\n\n焼いたり乾燥したら長持ちする。
MeatKidneyRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatKidneyRawQQQ_SpoilageTime.OnFull.ActionDescription,Kidney Spoiled!,腎臓が腐った！
MeatKidneyRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatKidneyRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatKidneyRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatKidneyRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatKidneyRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatKidneyRawDirtyQQQ_CardName,Kidney,腎臓
MeatKidneyRawDirtyQQQ_CardDescription,Must be cleaned first.,まず綺麗に洗う必要がある。
MeatKidneyRawDirtyQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatKidneyRawDirtyQQQ_SpoilageTime.OnFull.ActionDescription,Kidney Spoiled!,腎臓が腐った！
MeatKidneyRawDirtyQQQ_Progress.CardStatName,Bacteria,細菌
MeatKidneyRawDirtyQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatKidneyRawDirty_SpecialDurability4.CardStatName,Boil,茹でる
MeatKidneyRawDirtyQQQ_CardInteractions[0].ActionName,Wash,洗う
MeatKidneyRawDirtyQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatLiverRawQQQ_CardName,Liver,レバー
MeatLiverRawQQQ_CardDescription,Nutritious.\n\nCan be cooked to last longer.,栄養豊富。\n\n焼いたり乾燥したら長持ちする。
MeatLiverRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatLiverRawQQQ_SpoilageTime.OnFull.ActionDescription,Liver Spoiled!,レバーが腐った！
MeatLiverRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatLiverRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatLiverRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatLiverRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatLiverRawQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatLiverRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatLungRawQQQ_CardName,Lung,肺
MeatLungRawQQQ_CardDescription,Edible.,食用。
MeatLungRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatLungRawQQQ_SpoilageTime.OnFull.ActionDescription,Lung Spoiled!,肺が腐った！
MeatLungRawQQQ_UsageDurability.CardStatName,Drying,乾燥中
MeatLungRawQQQ_UsageDurability.OnFull.ActionDescription,Lung dried!,肺が乾燥した！
MeatLungRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatLungRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatLungRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatLungRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatLungRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatMincedRaw_CardName,Raw Minced Meat,生のミンチ肉
MeatMincedRaw_CardDescription,Nutritious.\n\nCan be mixed with fat to make filling for sausages and other things.,栄養豊富。\n\n脂肪と混ぜてソーセージなどに使う詰め物を作ることができる。
MeatMincedRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MeatMincedRaw_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉が腐った！
MeatMincedRaw_FuelCapacity.CardStatName,Temperature,温度
MeatMincedRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatMincedRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatMincedRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatMincedRaw_CardInteractions[0].ActionName,Add,入れる
MeatMincedRaw_DismantleActions[0].ActionName,Eat,食べる
MeatRaw_CardName,Meat,肉
MeatRaw_CardDescription,Nutritious.\n\nCan be cooked or dried to last longer.,栄養豊富。\n\n焼いたり乾燥したら長持ちする。
MeatRaw_AlternateNames[0].Name,Meat Scraps,くず肉
MeatRaw_AlternateNames[1].Name,Shoulder Meat,肩肉
MeatRaw_AlternateNames[2].Name,Meat,肉
MeatRaw_AlternateNames[3].Name,Haunch Meat,腿肉
MeatRaw_AlternateNames[4].Name,Loin Meat,ロース肉
MeatRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MeatRaw_SpoilageTime.OnFull.ActionDescription,Meat Spoiled!,肉が腐った！
MeatRaw_UsageDurability.CardStatName,Drying,乾燥中
MeatRaw_UsageDurability.OnFull.ActionDescription,Meat dried!,肉が乾燥した！
MeatRaw_FuelCapacity.CardStatName,Temperature,温度
MeatRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatRaw_SpecialDurability3.CardStatName,Meat Type,肉の種類
MeatRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatRaw_CardInteractions[0].ActionName,Mince,ミンチ
MeatRaw_OnStatsChangeActions[0].ActionName,Add Meat Scraps Quality Bonus,肉片品質補正
MeatRaw_OnStatsChangeActions[1].ActionName,Add Shoulder Meat Quality Bonus,肩肉品質補正
MeatRaw_OnStatsChangeActions[2].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatRaw_OnStatsChangeActions[3].ActionName,Add Haunch Meat Quality Bonus,腿肉品質補正
MeatRaw_OnStatsChangeActions[4].ActionName,Add Loin Meat Quality Bonus,ロース肉品質補正
MeatRaw_DismantleActions[0].ActionName,Eat,食べる
MeatRichSausageRaw_CardName,Raw Rich Sausage,生の豪華なソーセージ
MeatRichSausageRaw_CardDescription,Nutritious.\n\nCan be cooked or dried to last longer.,栄養豊富。\n\n焼いたり乾燥したら長持ちする。
MeatRichSausageRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MeatRichSausageRaw_SpoilageTime.OnFull.ActionDescription,Sausage Spoiled!,ソーセージが腐った！
MeatRichSausageRaw_UsageDurability.CardStatName,Drying,乾燥中
MeatRichSausageRaw_UsageDurability.OnFull.ActionDescription,Sausage dried!,ソーセージが乾燥した！
MeatRichSausageRaw_FuelCapacity.CardStatName,Temperature,温度
MeatRichSausageRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatRichSausageRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatRichSausageRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatRichSausageRaw_DismantleActions[0].ActionName,Eat,食べる
MeatSausageRaw_CardName,Raw Sausage,生のソーセージ
MeatSausageRaw_CardDescription,Nutritious.\n\nCan be cooked or dried to last longer.,栄養豊富。\n\n焼いたり乾燥したら長持ちする。
MeatSausageRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MeatSausageRaw_SpoilageTime.OnFull.ActionDescription,Sausage Spoiled!,ソーセージが腐った！
MeatSausageRaw_UsageDurability.CardStatName,Drying,乾燥中
MeatSausageRaw_UsageDurability.OnFull.ActionDescription,Sausage dried!,ソーセージが乾燥した！
MeatSausageRaw_FuelCapacity.CardStatName,Temperature,温度
MeatSausageRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatSausageRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatSausageRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatSausageRaw_DismantleActions[0].ActionName,Eat,食べる
MeatStomachCalfRaw_CardName,Cleaned Stomach,清潔な胃
MeatStomachCalfRaw_CardDescription,"Can be cooked or dried to last longer, or fashioned into different containers.",焼いたり乾燥したら長持ちする。容器に加工することもできる。
MeatStomachCalfRaw_UsageDurability.CardStatName,Drying,乾燥中
MeatStomachCalfRaw_UsageDurability.OnFull.ActionDescription,Stomach dried!,胃が乾燥した！
MeatStomachCalfRaw_FuelCapacity.CardStatName,Temperature,温度
MeatStomachCalfRaw_SpecialDurability1.CardStatName,Cook,料理する
MeatStomachCalfRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MeatStomachCalfRaw_SpecialDurability3.CardStatName,Rennet,レンネット
MeatStomachCalfRaw_SpecialDurability4.CardStatName,Boil,茹でる
MeatStomachCalfRaw_DismantleActions[0].ActionName,Eat,食べる
MeatStomachCalfRawDirty_CardName,Calf Stomach,子牛の胃
MeatStomachCalfRawDirty_CardDescription,Must be cleaned first.,まず綺麗に洗う必要がある。
MeatStomachCalfRawDirty_SpoilageTime.CardStatName,Spoilage,腐敗
MeatStomachCalfRawDirty_SpoilageTime.OnFull.ActionDescription,Stomach Spoiled!,胃が腐った！
MeatStomachCalfRawDirty_Progress.CardStatName,Bacteria,細菌
MeatStomachCalfRawDirty_SpecialDurability2.CardStatName,Quality,クオリティ
MeatStomachCalfRawDirty_SpecialDurability3.CardStatName,Rennet,レンネット
MeatStomachCalfRawDirty_SpecialDurability4.CardStatName,Boil,茹でる
MeatStomachCalfRawDirty_CardInteractions[0].ActionName,Wash,洗う
MeatStomachCalfRawDirty_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MeatStomachRawQQQ_CardName,Cleaned Stomach,清潔な胃
MeatStomachRawQQQ_CardDescription,"Can be cooked or dried to last longer, or fashioned into different containers.",焼いたり乾燥したら長持ちする。容器に加工することもできる。
MeatStomachRawQQQ_UsageDurability.CardStatName,Drying,乾燥中
MeatStomachRawQQQ_UsageDurability.OnFull.ActionDescription,Stomach dried!,胃が乾燥した！
MeatStomachRawQQQ_FuelCapacity.CardStatName,Temperature,温度
MeatStomachRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
MeatStomachRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatStomachRawQQQ_SpecialDurability4.CardStatName,Boil,茹でる
MeatStomachRawQQQ_DismantleActions[0].ActionName,Eat,食べる
MeatStomachRawDirtyQQQ_CardName,Stomach,胃
MeatStomachRawDirtyQQQ_CardDescription,Must be cleaned first.,まず綺麗に洗う必要がある。
MeatStomachRawDirtyQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
MeatStomachRawDirtyQQQ_SpoilageTime.OnFull.ActionDescription,Stomach Spoiled!,胃が腐った！
MeatStomachRawDirtyQQQ_Progress.CardStatName,Bacteria,細菌
MeatStomachRawDirtyQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
MeatStomachRawDirtyQQQ_CardInteractions[0].ActionName,Wash,洗う
MeatStomachRawDirtyQQQ_OnStatsChangeActions[0].ActionName,Add Regular Meat Quality Bonus,通常肉品質ボーナスを追加する
MilkButter_CardName,Butter,バター
MilkButter_CardDescription,Can be used to flavour and enrich food when heated up.,熱したら食べ物をより美味しく、栄養豊富にできる。
MilkButter_SpoilageTime.CardStatName,Spoilage,腐敗
MilkButter_SpoilageTime.OnFull.ActionDescription,Cream Spoiled!,クリームが腐った！
MilkButter_FuelCapacity.CardStatName,Temperature,温度
MilkButter_SpecialDurability1.CardStatName,Liquidity,
MilkButter_SpecialDurability2.CardStatName,Quality,クオリティ
MilkButter_CardInteractions[0].ActionName,Add,入れる
MilkButter_CardInteractions[1].ActionName,Add,入れる
MilkButter_CardInteractions[2].ActionName,Add,入れる
MilkButter_DismantleActions[0].ActionName,Eat,食べる
MilkCream_CardName,Cream,クリーム
MilkCream_CardDescription,"Rich and tasty. Can be used to make butter, to season food or eaten on its own.",濃厚で美味。バターを作るのに使える。調味料としても、そのまま食べてもよい。
MilkCream_SpoilageTime.CardStatName,Spoilage,腐敗
MilkCream_SpoilageTime.OnFull.ActionDescription,Cream Spoiled!,クリームが腐った！
MilkCream_FuelCapacity.CardStatName,Temperature,温度
MilkCream_SpecialDurability2.CardStatName,Quality,クオリティ
MilkCream_CardInteractions[0].ActionName,Add,入れる
MilkCream_DismantleActions[0].ActionName,Eat,食べる
MinnowRaw_CardName,Minnow,ミノウ
MinnowRaw_CardDescription,"A small, abundant fish, often used as bait but also edible in large quantities.",小さく、数が豊富な魚。釣りの餌として人気。食べることもできる。
MinnowRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MinnowRaw_SpoilageTime.OnFull.ActionDescription,Minnow Spoiled!,ミノウが腐った！
MinnowRaw_FuelCapacity.CardStatName,Temperature,温度
MinnowRaw_SpecialDurability1.CardStatName,Cook,料理する
MinnowRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MinnowRaw_SpecialDurability4.CardStatName,Boil,茹でる
MinnowRaw_DismantleActions[0].ActionName,Eat,食べる
MouseRaw_CardName,Dead Mouse,死んだネズミ
MouseRaw_CardDescription,A little dead mouse.,死んだ小さいネズミ
MouseRaw_SpoilageTime.CardStatName,Spoilage,腐敗
MouseRaw_SpoilageTime.OnFull.ActionDescription,Mouse Spoiled!,ネズミが腐った！
MouseRaw_FuelCapacity.CardStatName,Temperature,温度
MouseRawQWR_Progress.CardStatName,Spirit,精霊
MouseRaw_SpecialDurability1.CardStatName,Cook,料理する
MouseRaw_SpecialDurability2.CardStatName,Quality,クオリティ
MouseRaw_SpecialDurability4.CardStatName,Boil,茹でる
MouseRawQWR_DismantleActions[0].ActionName,Release the Spirit,精霊を開放する
MouseRawQWR_DismantleActions[1].ActionName,Blessing,祝福
MouseRawQWR_DismantleActions[1].RequiredReceivingDurabilities.FailMessage,Carcass has no spirit.,死骸から精霊の気配を感じない。
MouseRaw_DismantleActions[0].ActionName,Eat,食べる
PeasFresh_CardName,Fresh Peas,新鮮なエンドウ
PeasFresh_CardDescription,A nutritious food that is long lasting when dry. Perfect for enriching a meal.,乾燥したら長持ちする栄養豊富な食べ物。食事がより充実される！
PeasFresh_SpoilageTime.CardStatName,Spoilage,腐敗
PeasFresh_SpoilageTime.OnFull.ActionDescription,Peas Spoiled!,エンドウが腐った！
PeasFresh_UsageDurability.CardStatName,Drying,乾燥中
PeasFresh_UsageDurability.OnFull.ActionDescription,Peas dried!,エンドウが乾燥した！
PeasFresh_FuelCapacity.CardStatName,Temperature,温度
PeasFresh_SpecialDurability1.CardStatName,Cook,料理する
PeasFresh_SpecialDurability2.CardStatName,Quality,クオリティ
PeasFreshQweZ_SpecialDurability3.CardStatName,Dead,枯死
PeasFreshQweZ_SpecialDurability4.CardStatName,Boil,茹でる
PeasFresh_DismantleActions[0].ActionName,Eat,食べる
PineNutsDried_CardName,Dried Pine Nuts,乾燥した松の実
PineNutsDried_CardDescription,"Can be eaten, roasted or used as seasoning.",食べることも、炒ることも、調味料として使うこともできる。
PineNutsDried_SpoilageTime.CardStatName,Spoilage,腐敗
PineNutsDried_SpoilageTime.OnFull.ActionDescription,Nuts Spoiled!,ナッツが腐った！
PineNutsDried_FuelCapacity.CardStatName,Temperature,温度
PineNutsDried_SpecialDurability1.CardStatName,Burned,焦げた
PineNutsDried_SpecialDurability2.CardStatName,Quality,クオリティ
PineNutsDried_CardInteractions[0].ActionName,Add,入れる
PineNutsDried_DismantleActions[0].ActionName,Eat,食べる
PineNutsRaw_CardName,Pine Nuts,松の実
PineNutsRaw_CardDescription,"Can be eaten raw, roasted or used as seasoning.",生で食べれるが、焼いて食べたり、調味料として使ったりできる。
PineNutsRaw_SpoilageTime.CardStatName,Spoilage,腐敗
PineNutsRaw_SpoilageTime.OnFull.ActionDescription,Nuts Spoiled!,ナッツが腐った！
PineNutsRaw_UsageDurability.CardStatName,Drying,乾燥中
PineNutsRaw_UsageDurability.OnFull.ActionDescription,Pine Nuts dried!,松の実が乾燥した！
PineNutsRaw_FuelCapacity.CardStatName,Temperature,温度
PineNutsRaw_SpecialDurability1.CardStatName,Cook,料理する
PineNutsRaw_SpecialDurability2.CardStatName,Quality,クオリティ
PineNutsRaw_CardInteractions[0].ActionName,Add,入れる
PineNutsRaw_DismantleActions[0].ActionName,Eat,食べる
RyeDoughBloodRawQQQ_CardName,Rye Blood Dough,ブラッドブレッドの生地
RyeDoughBloodRawQQQ_CardDescription,Can cook it in a fire or oven to make Bloodbread. Can also knead it to increase its quality.,焚き火やオーブンで焼いてブラッドブレッドを作ることができる。練ることで品質を上げることもできる。
RyeDoughBloodRawQQQ_SpoilageTime.CardStatName,Spoilage,腐敗
RyeDoughBloodRawQQQ_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,生地が腐った！
RyeDoughBloodRawQQQ_FuelCapacity.CardStatName,Temperature,温度
RyeDoughBloodRawQQQ_SpecialDurability1.CardStatName,Cook,料理する
RyeDoughBloodRawQQQ_SpecialDurability2.CardStatName,Quality,クオリティ
RyeDoughBloodRawQQQ_DismantleActions[0].ActionName,Knead,こねる
RyeDoughEggRaw_CardName,Rye Egg Dough,ライ麦と卵の生地
RyeDoughEggRaw_CardDescription,Can cook it in a fire or oven to make rye eggbread. Can also knead it to increase its quality.,火やオーブンで調理するとライ麦卵パンを作ることができ、こねることで品質を向上させることもできる。
RyeDoughEggRaw_SpoilageTime.CardStatName,Spoilage,腐敗
RyeDoughEggRaw_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,生地が腐った！
RyeDoughEggRaw_FuelCapacity.CardStatName,Temperature,温度
RyeDoughEggRaw_SpecialDurability1.CardStatName,Cook,料理する
RyeDoughEggRaw_SpecialDurability2.CardStatName,Quality,クオリティ
RyeDoughEggRaw_DismantleActions[0].ActionName,Knead,こねる
RyeDoughGreeseRaw_CardName,Rye Grease Dough,ライ麦と脂肪の生地
RyeDoughGreeseRaw_CardDescription,"Can be knead to increase its quality and cooked in a fire or oven to make rye cakes. Can also be combined with Fish, Meat, Blood Filling or Berry Fat Cakes to create Pasties.",
RyeDoughGreeseRaw_SpoilageTime.CardStatName,Spoilage,腐敗
RyeDoughGreeseRaw_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,生地が腐った！
RyeDoughGreeseRaw_FuelCapacity.CardStatName,Temperature,温度
RyeDoughGreeseRaw_SpecialDurability1.CardStatName,Cook,料理する
RyeDoughGreeseRaw_SpecialDurability2.CardStatName,Quality,クオリティ
RyeDoughGreeseRaw_CardInteractions[0].ActionName,Add,入れる
RyeDoughGreeseRaw_CardInteractions[1].ActionName,Add,入れる
RyeDoughGreeseRaw_CardInteractions[2].ActionName,Add,入れる
RyeDoughGreeseRaw_CardInteractions[3].ActionName,Add,入れる
RyeDoughGreeseRaw_DismantleActions[0].ActionName,Knead,こねる
RyeDoughRaw_CardName,Rye Dough,ライ麦の生地
RyeDoughRaw_CardDescription,Can cook it in a fire or oven to make flatbread or ferment it into sourdough. Can also knead it to increase its quality and mix it with sourdough.,火やオーブンで焼けばフラットブレッド、発酵させたらサワードウが作れる。こねて効果を強化させることも、サワードウと混ぜることもできる。
RyeDoughRaw_SpoilageTime.CardStatName,Spoilage,腐敗
RyeDoughRaw_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,生地が腐った！
RyeDoughRaw_UsageDurability.CardStatName,Drying,乾燥中
RyeDoughRaw_UsageDurability.OnFull.ActionDescription,Rye Dough dried!,ライ麦の生地が乾燥した！
RyeDoughRaw_FuelCapacity.CardStatName,Temperature,温度
RyeDoughRaw_SpecialDurability1.CardStatName,Cook,料理する
RyeDoughRaw_SpecialDurability2.CardStatName,Quality,クオリティ
RyeDoughRaw_SpecialDurability3.CardStatName,Yeast,酵母
RyeDoughRaw_CardInteractions[0].ActionName,Add Eggs,卵を入れる
RyeDoughRaw_DismantleActions[0].ActionName,Knead,こねる
RyeDoughSourRaw_CardName,Rye Sour Dough,ライ麦酸生地
RyeDoughSourRaw_CardDescription,Can cook it in a fire or oven to make roundbread. Can also knead it to increase its quality.,火やオーブンで焼くと丸パンを作ることができ、またこねることで品質を高められる。
RyeDoughSourRaw_SpoilageTime.CardStatName,Spoilage,腐敗
RyeDoughSourRaw_SpoilageTime.OnFull.ActionDescription,Dough Spoiled!,生地が腐った！
RyeDoughSourRaw_FuelCapacity.CardStatName,Temperature,温度
RyeDoughSourRaw_SpecialDurability1.CardStatName,Cook,料理する
RyeDoughSourRaw_SpecialDurability2.CardStatName,Quality,クオリティ
RyeDoughSourRaw_SpecialDurability3.CardStatName,Yeast,酵母
RyeDoughSourRaw_CardInteractions[0].ActionName,Transfer Yeast,酵母を移す
RyeDoughSourRaw_DismantleActions[0].ActionName,Knead,こねる
RyeRawBilberryPasty_CardName,Raw Rye Bilberry Pasty,生のライ麦ビルベリーパイ
RyeRawBilberryPasty_CardDescription,"Needs cooking, preferably in an oven.",調理が必要。できればオーブンで焼くこと。
RyeRawBilberryPasty_SpoilageTime.CardStatName,Spoilage,腐敗
RyeRawBilberryPasty_SpoilageTime.OnFull.ActionDescription,Pasty Spoiled!,パイが腐った！
RyeRawBilberryPasty_FuelCapacity.CardStatName,Temperature,温度
RyeRawBilberryPasty_SpecialDurability1.CardStatName,Cook,料理する
RyeRawBilberryPasty_SpecialDurability2.CardStatName,Quality,クオリティ
RyeRawBloodPasty_CardName,Raw Rye Blood Pasty,生のライ麦ブラッドパイ
RyeRawBloodPasty_CardDescription,"Needs cooking, preferably in an oven.",調理が必要。できればオーブンで焼くこと。
RyeRawBloodPasty_SpoilageTime.CardStatName,Spoilage,腐敗
